ID,Author_Name,Years,Author_ID,Title,Year,School,School_ID,Department_free_text,Department_broad_category,Department CBID,Subject_broad,Root_dissertation,Advisor_Name_1,Advisor_ID_1,Advisor_Role_1,Advisor_Name_2,Advisor_ID_2,Advisor_Role_2,Advisor_Name_3,Advisor_ID_3,Advisor_Role_3,Advisor_Name_4,Advisor_ID_4,Advisor_Role_4,Advisor_Name_5,Advisor_ID_5,Advisor_Role_5,Advisor_Name_6,Advisor_ID_6,Advisor_Role_6,Advisor_Name_7,Advisor_ID_7,Advisor_Role_7,Advisor_Name_8,Advisor_ID_8,Advisor_Role_8,Category_ID,Source Notes,Edition_Details
COMB_000059,"Varty, John F.",,CBA000105068,"Growing Bread: Technoscience, Environment, and Modern Wheat at the Dominion Grain Research Laboratory, Canada, 1912--1960",2006,Queen's University at Kingston (Canada),CBA000162381,,,,,,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000131340,,
COMB_000060,"Bleecker, Julian C.",,CBA000009847,The Reality Effect of Technoscience,2004,"University of California, Santa Cruz",CBA000120395,,,,,,"Haraway, Donna Jeanne",CBA000042654,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000131398,,"Advisor: Haraway, Donna"
COMB_000061,"Prasad, Amit",,CBA000081578,Cultures of Technoscience: A Study of Magnetic Resonance Imaging (MRI) Research in the United States and India,2004,University of Illinois at Urbana-Champaign,CBA000162488,,,,,,"Pickering, Andrew",CBA000079786,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000131397,,"Advisor: Pickering, Andrew"
COMB_000062,"Perez-Teran Mayorga, Rosa-Maria",,CBA000078794,On Universals:  The Scholastic Realism of John Duns Scotus and Charles Sanders Peirce,2002,University of Miami,CBA000162682,,,,,,"Haack, Susan",CBA000041357,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000130288,,"Advisor: Haack, Susan"
COMB_000063,"Devlin, J.",,CBA000025361,Illness and the supernatural in 19th-century France,,University of Oxford (UK),CBA000115211,,,,,,"Zeldin, T.",TEMP_415990F15A66,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000116091,,
COMB_000064,"McElroy, W. D.",,CBA000067155,Psychologisms and psychology in 18th-century France and Switzerland: Lockean epistemology and Charles Bonnet's “natural history of the soul”,,Belfast University (UK),,,,,,,"Gabbey, A.",TEMP_E5FCBAD27233,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000130242,,
COMB_000065,"Blakley, Christopher",,CBA239746292,Inhuman Empire: Slavery and Nonhuman Animals in the British Atlantic World,2019,Rutgers University,CBA000115316,,,,,,"Delbourgo, James",CBA000024519,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000131175,,
COMB_000066,Megan E. O'Donnell,,CBA665993966,Imagining Ecology: Species/Energy/Dimension in Nineteenth-Century Speculative Fiction,2022,University of Delaware,CBA000162478,,,,,,"Carroll, Siobhan",CBA611331744,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,
COMB_000067,"Abate, Mark T.",,CBA000000028,Roger Bacon and the Rage of Antichrist: The Apocalypse of a Thirteenth Century Natural Philosopher,2000,Boston University,CBA000132432,,,,,,"Backman, Clifford R.",CBA000004235,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000131011,,"Advisor: Backman, Clifford R."
COMB_000068,"Kitteringham, Guy",,CBA000054189,"Studies in the popularisation of science in England, 1800-1830",,University of Kent (UK),CBA000162652,,,,,,"Crosland, M. P.",TEMP_FE196A1C6600,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000115761,,
